prompt,group_name,path,Prompt,subset,Challenge,Note
0,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/0/CompVis/stable-diffusion-v1-4/43.png,0,Abstract,Basic,Simple numbers but challenging
0,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/0/runwayml/stable-diffusion-v1-5/7.png,0,Abstract,Basic,Simple numbers but challenging
0,stabilityai/stable-diffusion-2,./data/txt2img_parti/0/stabilityai/stable-diffusion-2/36.png,0,Abstract,Basic,Simple numbers but challenging
0,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/0/stabilityai/stable-diffusion-2-1/7.png,0,Abstract,Basic,Simple numbers but challenging
101,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/101/CompVis/stable-diffusion-v1-4/15.png,101,Abstract,Basic,Simple numbers but challenging
101,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/101/runwayml/stable-diffusion-v1-5/7.png,101,Abstract,Basic,Simple numbers but challenging
101,stabilityai/stable-diffusion-2,./data/txt2img_parti/101/stabilityai/stable-diffusion-2/34.png,101,Abstract,Basic,Simple numbers but challenging
101,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/101/stabilityai/stable-diffusion-2-1/38.png,101,Abstract,Basic,Simple numbers but challenging
300,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/300/CompVis/stable-diffusion-v1-4/15.png,300,Abstract,Basic,Simple numbers but challenging
300,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/300/runwayml/stable-diffusion-v1-5/40.png,300,Abstract,Basic,Simple numbers but challenging
300,stabilityai/stable-diffusion-2,./data/txt2img_parti/300/stabilityai/stable-diffusion-2/45.png,300,Abstract,Basic,Simple numbers but challenging
300,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/300/stabilityai/stable-diffusion-2-1/7.png,300,Abstract,Basic,Simple numbers but challenging
300_movie_titles,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/300_movie_titles/CompVis/stable-diffusion-v1-4/38.png,300 movie titles,Artifacts,Quantity,Simple numbers but challenging
300_movie_titles,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/300_movie_titles/runwayml/stable-diffusion-v1-5/5.png,300 movie titles,Artifacts,Quantity,Simple numbers but challenging
300_movie_titles,stabilityai/stable-diffusion-2,./data/txt2img_parti/300_movie_titles/stabilityai/stable-diffusion-2/31.png,300 movie titles,Artifacts,Quantity,Simple numbers but challenging
300_movie_titles,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/300_movie_titles/stabilityai/stable-diffusion-2-1/13.png,300 movie titles,Artifacts,Quantity,Simple numbers but challenging
42,CompVis/stable-diffusion-v1-4,./data/txt2img_parti/42/CompVis/stable-diffusion-v1-4/0.png,42,Abstract,Basic,Simple numbers but challenging
42,runwayml/stable-diffusion-v1-5,./data/txt2img_parti/42/runwayml/stable-diffusion-v1-5/37.png,42,Abstract,Basic,Simple numbers but challenging
42,stabilityai/stable-diffusion-2,./data/txt2img_parti/42/stabilityai/stable-diffusion-2/8.png,42,Abstract,Basic,Simple numbers but challenging
42,stabilityai/stable-diffusion-2-1,./data/txt2img_parti/42/stabilityai/stable-diffusion-2-1/22.png,42,Abstract,Basic,Simple numbers but challenging
